,Overall_Portfolio,AOS_Portfolio,AP GRANGE HOLDINGS LLC 6.5 03/...,AP FIDES HOLDINGS I LLC 6 11/3...,AP HERMES HOLDINGS I LLC 6.25 ...,HPS CORPORATE LENDING FUND 8.6...,NORTH HAVEN PRIVATE INCOME FUN...,VB DPR Fin 7.11847 03/15/2035,AP CHIA ISSUER LLC 7.25 05/23/...,AP GRANGE HLDS DEFERRED INT ON...,VB DPR Fin 6.83781 03/15/2035,AP ORYX HOLDINGS LLC 6.1 09/08...
Overall_Portfolio,1.0,0.5132818584274159,0.05294952234467932,0.37409018314300774,0.3214761891163674,0.22131917134770562,0.1364847748087012,0.3077754799059028,0.06324326884971902,0.254853625568784,0.3886414783578876,0.22767814398824657
AOS_Portfolio,0.5132818584274159,1.0,0.1985240242172482,0.639750065156185,0.6142785563814344,-0.05924760412689434,0.3372876658175837,0.31412281796286257,0.17195921537010578,0.6611697167047662,0.8550698844325623,0.3536696721904523
AP GRANGE HOLDINGS LLC 6.5 03/...,0.05294952234467932,0.1985240242172482,1.0,-0.01774021185267889,-0.018015116334100523,-0.06476703537303846,0.162252940363434,0.011301222737939811,0.02321789651231621,0.22901631089889826,0.24798296227632774,0.330271990444402
AP FIDES HOLDINGS I LLC 6 11/3...,0.37409018314300774,0.639750065156185,-0.01774021185267889,1.0,0.9738892639318415,-0.09660524527568935,-0.0017289520949522626,0.2549329835909742,0.07587826186184335,-0.0021430971266836077,-0.03810309407781026,0.01741217778388009
AP HERMES HOLDINGS I LLC 6.25 ...,0.3214761891163674,0.6142785563814344,-0.018015116334100523,0.9738892639318415,1.0,-0.09391826257240211,0.014698012958545711,0.25799844169283725,0.07957376777341166,0.003911878457602089,-0.023385764915099506,0.014999448081212795
HPS CORPORATE LENDING FUND 8.6...,0.22131917134770562,-0.05924760412689434,-0.06476703537303846,-0.09660524527568935,-0.09391826257240211,1.0,0.21556805977906326,0.4523670214680386,0.0803802728720957,0.9877502640158747,0.979171177270531,
NORTH HAVEN PRIVATE INCOME FUN...,0.1364847748087012,0.3372876658175837,0.162252940363434,-0.0017289520949522626,0.014698012958545711,0.21556805977906326,1.0,0.7448033772560009,0.04926134306683626,0.44906791023502385,0.4782109707817612,0.23606040293795527
VB DPR Fin 7.11847 03/15/2035,0.3077754799059028,0.31412281796286257,0.011301222737939811,0.2549329835909742,0.25799844169283725,0.4523670214680386,0.7448033772560009,1.0,0.744800700076258,0.4523482605842939,,
AP CHIA ISSUER LLC 7.25 05/23/...,0.06324326884971902,0.17195921537010578,0.02321789651231621,0.07587826186184335,0.07957376777341166,0.0803802728720957,0.04926134306683626,0.744800700076258,1.0,0.10350504664997727,-0.0035588756200283823,0.9577833947255893
AP GRANGE HLDS DEFERRED INT ON...,0.254853625568784,0.6611697167047662,0.22901631089889826,-0.0021430971266836077,0.003911878457602089,0.9877502640158747,0.44906791023502385,0.4523482605842939,0.10350504664997727,1.0,0.9764330445622363,0.4505134628068946
VB DPR Fin 6.83781 03/15/2035,0.3886414783578876,0.8550698844325623,0.24798296227632774,-0.03810309407781026,-0.023385764915099506,0.979171177270531,0.4782109707817612,,-0.0035588756200283823,0.9764330445622363,1.0,0.9324568582332649
AP ORYX HOLDINGS LLC 6.1 09/08...,0.22767814398824657,0.3536696721904523,0.330271990444402,0.01741217778388009,0.014999448081212795,,0.23606040293795527,,0.9577833947255893,0.4505134628068946,0.9324568582332649,1.0
